Field Name,HTML Selector,Confirmed,Available in Zotero,Zotero equivalent,Syntax note for Zotero
Title,h3.index_title.document-title-heading a (text),X,X,X,
Item URL,h3.index_title.document-title-heading a (href),X,X,url,
Document Counter,span.document-counter (text),X,X,NO,
Thumbnail URL,.document-thumbnail img (src),X,X,Attachment,
Alternative Title,dt.blacklight-readonly_alternative-title_tesim + dd,X,NO,Extra,
Subtitle,dt.blacklight-readonly_subtitle_tesim + dd,X,NO,Extra,
Alternative Subtitle,dt.blacklight-readonly_alternative-subtitle_tesim + dd,X,NO,Extra,
Creator/Contributor,dt.blacklight-readonly_creator-contributor_tesim + dd,X,X,Author,
Publisher,dt.blacklight-readonly_publisher_tesim + dd,X,X,X,
Geographic Coverage,dt.blacklight-readonly_geographic-coverage_tesim + dd,X,NO,Extra,
Date Created/Date Issued,dt.blacklight-readonly_date-created-date-issued_tesim + dd,X,X,Date,
Owning Repository,dt.blacklight-readonly_owning-repository_tesim + dd,X,X,Archive,
Related Resource - Host,dt.blacklight-readonly_related-resource-host_tesim + dd,X,X,Loc. In Archive,
Identifier - Local,dt.blacklight-readonly_identifier-local_tesim + dd,X,NO,Extra,
Extent,dt.blacklight-readonly_extent_tesim + dd,X,X,# of Pages,
Language,dt.blacklight-readonly_language_tesim + dd,X,X,X,| >> ;
Genre,dt.blacklight-readonly_genre_tesim + dd,X,NO,Extra,
Topic,dt.blacklight-readonly_topic_tesim + dd,X,X,Tags,| >> ;
Description,dt.blacklight-readonly_description_tesim + dd,X,X,Notes,
Condition Note,dt.blacklight-readonly_condition-note_tesim + dd,X,NO,Extra,
General Note,dt.blacklight-readonly_general-note_tesim + dd,X,NO,Extra,
License,dt.blacklight-readonly_license_tesim + dd,X,X,Rights,
Citation Note,dt.blacklight-readonly_citation-note_tesim + dd,X,X,,
